country,year,medal,count,population
Czech Republic,1992,Silver,3,10319123
Kenya,1988,Silver,2,22153676
Sweden,2004,Gold,5,8993531
Denmark,2000,Bronze,4,5339616
Cuba,1972,Bronze,18,9025345
Cuba,2016,Gold,5,11335109
Portugal,1996,Gold,1,10063945
South Africa,1960,Silver,1,17099840
Australia,2006,Bronze,1,20697900
Kenya,1988,Gold,5,22153676
Kyrgyzstan,2000,Bronze,1,4898400
Italy,2008,Silver,14,58826731
Finland,1972,Bronze,7,4639657
Greece,1984,Silver,1,9895801
Slovenia,2004,Bronze,3,1997012
Bulgaria,1968,Silver,21,8369603
Sweden,1984,Gold,10,8336605
Czech Republic,1964,Gold,5,9727804
Slovakia,2012,Bronze,4,5407579
Slovenia,2016,Silver,2,2065042
Japan,2010,Bronze,2,128070000
Canada,1984,Gold,21,25607053
United Kingdom,1992,Silver,3,57580402
France,2012,Bronze,22,65659809
Bulgaria,1964,Silver,5,8144340
Indonesia,1996,Silver,1,199901228
New Zealand,2000,Gold,1,3857700
Germany,1992,Gold,95,80624598
Norway,1988,Gold,2,4209488
Austria,1976,Bronze,4,7565525
Netherlands,2012,Silver,29,16754962
Sri Lanka,2000,Silver,1,18777601
Austria,2004,Silver,4,8171966
North Korea,1972,Bronze,13,15207771
Russia,2016,Bronze,35,144342396
Greece,1972,Silver,2,8888628
Japan,1980,Silver,1,116782000
Japan,2004,Bronze,52,127761000
Belarus,2014,Gold,5,9474511
Panama,2008,Gold,1,3516204
France,2008,Gold,25,64374984
Austria,1976,Silver,2,7565525
Ukraine,2000,Gold,3,49175848
Japan,2004,Silver,20,127761000
South Korea,2014,Bronze,2,50746659
Russia,1972,Silver,53,131909000
South Korea,2006,Silver,3,48438292
Switzerland,2002,Bronze,14,7284753
Hungary,1964,Silver,7,10119835
Georgia,2008,Gold,3,3848449
Canada,1968,Gold,4,20744000
Finland,1998,Bronze,49,5153498
Canada,2004,Bronze,4,31940655
Trinidad,2012,Silver,4,1344817
Ethiopia,2004,Bronze,2,74239505
United Kingdom,2014,Bronze,5,64613160
Germany,2014,Gold,15,80982500
Kyrgyzstan,2008,Silver,1,5318700
Poland,2010,Silver,3,38042794
India,2008,Gold,1,1200669765
Serbia,2008,Silver,1,7350222
France,1972,Bronze,17,52793138
Brazil,1996,Silver,15,164614688
Canada,1964,Gold,6,19325000
Netherlands,1996,Silver,9,15530498
Vietnam,2016,Silver,1,93638724
France,1968,Bronze,12,51175508
Portugal,2008,Silver,1,10558177
Argentina,1996,Bronze,1,35246374
Spain,2008,Silver,47,45954106
Argentina,1964,Silver,1,21824425
Croatia,2004,Silver,3,4304600
Finland,2012,Silver,1,5413971
Portugal,1996,Bronze,2,10063945
Canada,1976,Silver,10,23449808
United Kingdom,1972,Silver,9,56086065
Uganda,1968,Bronze,1,8841153
Sweden,2002,Silver,2,8924958
China,1996,Silver,70,1217550000
Ethiopia,1972,Bronze,2,30140804
Finland,1996,Gold,1,5124573
North Korea,1992,Bronze,7,20937404
Mexico,2016,Bronze,2,123333376
Indonesia,2004,Silver,1,223285676
China,1998,Silver,9,1241935000
Norway,1994,Silver,17,4336613
Bahrain,2016,Silver,1,1425791
Australia,2004,Gold,49,20127400
Portugal,2000,Bronze,2,10289898
Sweden,1988,Bronze,34,8436489
Ethiopia,1968,Silver,1,26944390
Spain,1980,Bronze,3,37491165
Netherlands,1988,Silver,8,14760094
Kenya,1968,Silver,7,10539894
Russia,1996,Bronze,34,148160042
Portugal,1988,Gold,1,10019610
United Kingdom,2016,Bronze,26,65595565
Jamaica,2008,Gold,5,2781876
India,1960,Silver,13,450547679
New Zealand,1988,Silver,4,3283400
Iran,1988,Silver,1,53077313
Denmark,1992,Gold,3,5171370
New Zealand,1964,Bronze,2,2585400
Italy,2006,Gold,11,58143979
Thailand,1988,Bronze,1,54891520
Russia,1980,Gold,205,139010000
Canada,1980,Bronze,1,24515667
Brazil,1984,Silver,33,132383568
Italy,1960,Gold,36,50199700
Australia,2000,Gold,60,19153000
New Zealand,2008,Bronze,9,4259800
Kenya,2016,Bronze,1,49051686
Jordan,2016,Gold,1,9551467
Chile,2004,Gold,3,16014971
Mexico,2000,Bronze,3,98899845
Sweden,2016,Silver,23,9923085
China,2006,Bronze,6,1311020000
Greece,1996,Gold,4,10608800
Latvia,2012,Gold,1,2034319
New Zealand,1976,Gold,15,3110500
China,2000,Bronze,17,1262645000
Russia,2010,Silver,5,142849449
Czech Republic,1960,Gold,4,9602006
Pakistan,1968,Gold,13,55102684
Australia,1992,Bronze,16,17495000
Russia,2012,Gold,50,143201676
Iran,2000,Bronze,1,65623405
Hungary,2012,Gold,12,9920362
Norway,2014,Bronze,13,5137232
Croatia,2012,Gold,15,4267558
United States of America,2006,Silver,11,298379912
Denmark,1996,Gold,21,5263074
Sweden,1996,Bronze,5,8840998
Switzerland,1964,Bronze,1,5789228
Norway,1980,Bronze,9,4085620
Mexico,1980,Silver,1,67761372
Japan,2014,Bronze,6,127276000
Hungary,1992,Silver,23,10369341
Kazakhstan,2016,Bronze,10,17794055
Latvia,2008,Silver,1,2177322
Netherlands,1992,Bronze,10,15184166
Japan,1998,Silver,1,126400000
Serbia,1996,Gold,1,7617794
Thailand,2004,Bronze,4,64995299
Ireland,2012,Silver,1,4599533
Algeria,1992,Bronze,1,27028326
Switzerland,1984,Gold,2,6441865
Jamaica,2012,Silver,9,2842132
Colombia,1988,Bronze,1,31822525
Kenya,1964,Bronze,1,9222692
France,1968,Gold,16,51175508
Malaysia,1992,Bronze,2,19002656
Romania,1960,Gold,3,18406905
Croatia,2010,Bronze,1,4295427
Iran,1964,Bronze,2,24307860
Germany,2006,Silver,25,82376451
Japan,1972,Gold,30,107188000
Switzerland,1996,Gold,5,7071850
Turkey,1996,Bronze,1,59423282
Austria,2010,Silver,9,8363404
Australia,2004,Silver,77,20127400
Finland,1976,Silver,12,4725664
Romania,1968,Gold,5,19799831
Sweden,1996,Gold,3,8840998
Austria,2014,Bronze,11,8546356
Germany,2006,Bronze,6,82376451
Mexico,2004,Bronze,1,104514932
Ethiopia,2000,Gold,4,66224804
Ghana,1960,Silver,1,6635230
Finland,1964,Gold,6,4548543
Italy,1972,Gold,12,54381345
Germany,2000,Silver,23,82211508
Saudi Arabia,2000,Silver,1,20663843
France,1984,Bronze,33,56337666
France,1972,Gold,2,52793138
South Korea,1992,Bronze,17,43747962
Norway,2004,Bronze,2,4591910
China,2008,Bronze,57,1324655000
Georgia,2004,Gold,2,3927340
Ethiopia,1968,Gold,1,26944390
New Zealand,2004,Silver,2,4087500
Switzerland,2016,Gold,6,8373338
Poland,2000,Gold,7,38258629
Hungary,2004,Bronze,4,10107146
Ukraine,1994,Bronze,1,51921041
Germany,1960,Silver,37,72814900
Georgia,2016,Silver,1,3727505
Cuba,1972,Gold,3,9025345
Sweden,1972,Bronze,10,8122300
France,1964,Gold,4,49230595
Australia,1964,Gold,8,11167000
Uzbekistan,1994,Gold,1,22377000
South Korea,1996,Bronze,7,45524681
Norway,1992,Bronze,6,4286401
Jamaica,1992,Silver,3,2461049
Kenya,2004,Silver,4,35635271
Romania,1976,Gold,4,21551634
Mongolia,1968,Bronze,3,1207104
United States of America,2016,Bronze,71,323071342
Austria,1988,Bronze,4,7585317
Finland,2008,Gold,1,5313399
South Africa,1996,Bronze,1,42241011
Brazil,1968,Bronze,3,90387079
Jamaica,2004,Bronze,6,2725015
Thailand,2012,Bronze,1,67835957
Czech Republic,1998,Bronze,1,10294373
India,2012,Silver,2,1265782790
Sweden,1980,Bronze,29,8310531
Romania,1996,Bronze,15,22619004
Kenya,2004,Bronze,2,35635271
United States of America,1996,Silver,48,269394000
Colombia,2016,Silver,2,48171392
United States of America,1960,Bronze,25,180671000
Japan,2014,Silver,4,127276000
Indonesia,2016,Silver,2,261554226
Spain,2004,Gold,4,42921895
North Korea,2008,Gold,2,24310142
New Zealand,1976,Silver,1,3110500
South Africa,2004,Gold,4,47291610
France,1998,Bronze,12,60186288
Switzerland,2012,Gold,2,7996861
United Arab Emirates,2016,Bronze,1,9360980
Colombia,2000,Gold,1,39629968
Indonesia,2004,Bronze,3,223285676
Croatia,2000,Bronze,9,4468302
Dominican Republic,2008,Gold,1,9458075
Slovenia,2012,Silver,1,2057159
Austria,1998,Bronze,12,7976789
Greece,2000,Gold,4,10805808
Hungary,1976,Gold,14,10598677
Finland,1968,Gold,2,4626469
United Kingdom,1964,Silver,19,54000000
United States of America,1994,Gold,6,263126000
Finland,1994,Silver,1,5088333
Germany,2004,Bronze,63,82516260
Sweden,2000,Silver,20,8872109
Norway,1964,Bronze,6,3694339
China,1984,Bronze,37,1036825000
Australia,1968,Silver,35,12009000
Bulgaria,1960,Bronze,3,7867374
Sweden,1988,Gold,7,8436489
Nigeria,1992,Silver,7,100161710
Zimbabwe,2008,Silver,3,12379549
United States of America,1988,Gold,89,244499000
United States of America,1964,Bronze,42,191889000
United States of America,1996,Gold,159,269394000
Russia,1984,Silver,15,142745000
Jamaica,1972,Bronze,1,1935100
Italy,2000,Gold,22,56942108
Belgium,2004,Bronze,2,10421137
Poland,1980,Gold,3,35574150
Denmark,1996,Silver,1,5263074
Belarus,2004,Silver,5,9730146
Jamaica,1984,Bronze,2,2306366
Serbia,2008,Bronze,14,7350222
Japan,2000,Bronze,8,126843000
Czech Republic,2014,Bronze,2,10525347
New Zealand,2012,Silver,3,4408100
Dominican Republic,1984,Bronze,1,6331764
Romania,1992,Gold,8,22794284
Portugal,1984,Bronze,2,9996232
Poland,1972,Bronze,11,33055650
Netherlands,2004,Silver,51,16281779
Colombia,2012,Silver,3,46076848
Germany,1972,Silver,88,78688452
Netherlands,1964,Gold,6,12127120
Hungary,1988,Bronze,15,10596487
Finland,1964,Bronze,7,4548543
Ireland,1984,Silver,1,3532423
Morocco,1992,Gold,1,25711406
Belgium,1992,Silver,1,10045158
Morocco,1992,Bronze,1,25711406
Germany,1984,Bronze,64,77858685
Thailand,1984,Silver,1,51094868
Norway,1980,Gold,1,4085620
Denmark,1968,Bronze,6,4864883
Belgium,2012,Silver,1,11106932
Trinidad,1960,Bronze,5,847979
Italy,2004,Bronze,39,57685327
Azerbaijan,2004,Bronze,4,8306500
Kenya,1992,Silver,4,25326078
Romania,1972,Gold,3,20657957
Romania,2008,Bronze,16,20537875
Cuba,2008,Bronze,11,11236971
Pakistan,1984,Gold,16,89213706
Zambia,1984,Bronze,1,6701540
Belgium,1976,Bronze,6,9818227
Norway,2006,Bronze,12,4660677
United States of America,1980,Silver,4,227225000
France,2002,Silver,5,61805267
Italy,1998,Silver,9,56906744
Czech Republic,2010,Gold,2,10474410
United Kingdom,1996,Silver,15,58166950
Slovakia,2012,Silver,1,5407579
United Kingdom,2012,Gold,48,63700300
United Kingdom,1984,Gold,11,56422072
Netherlands,2008,Silver,18,16445593
Liechtenstein,1980,Silver,2,25879
Russia,2006,Gold,16,143049528
Jamaica,2004,Gold,6,2725015
Ethiopia,2004,Silver,3,74239505
Morocco,1960,Silver,1,12328532
Switzerland,2002,Gold,3,7284753
France,1968,Silver,8,51175508
Cuba,2012,Bronze,6,11257101
Japan,1960,Silver,10,92500572
Switzerland,1976,Bronze,8,6302504
Uzbekistan,2000,Silver,1,24650400
Mexico,1964,Bronze,1,42771079
Finland,1992,Bronze,8,5041992
South Korea,2000,Gold,12,47008111
Kazakhstan,2008,Silver,4,15674000
Czech Republic,1972,Gold,3,9867632
United States of America,1994,Silver,8,263126000
Israel,2016,Bronze,2,8546000
Argentina,2012,Silver,15,41733271
Belarus,1994,Silver,2,10227000
Austria,2002,Bronze,13,8081957
United States of America,1976,Gold,73,218035000
Puerto Rico,1984,Bronze,1,3344190
Belarus,2016,Gold,1,9501534
Russia,2012,Bronze,51,143201676
Norway,2008,Silver,5,4768212
Trinidad,2008,Silver,1,1314443
France,2004,Bronze,22,62704895
Netherlands,1998,Silver,4,15707209
Kazakhstan,1996,Bronze,4,15577894
Paraguay,2004,Silver,17,5730549
Jamaica,2016,Gold,11,2906238
China,1984,Gold,24,1036825000
Thailand,2008,Silver,2,66530984
Kazakhstan,2004,Silver,4,15012985
Slovakia,2000,Gold,2,5388720
Argentina,2000,Bronze,3,36870787
Australia,1972,Bronze,2,13177000
Spain,1972,Bronze,1,34604469
Slovenia,2016,Gold,1,2065042
China,2008,Silver,53,1324655000
Brazil,1988,Gold,1,143627503
Spain,1992,Gold,48,39157685
Slovakia,1996,Bronze,1,5373361
Mauritius,2008,Bronze,1,1244121
Ukraine,2016,Bronze,5,45004645
Belgium,2016,Silver,17,11331422
South Africa,2016,Silver,7,56203654
Romania,1984,Bronze,35,22655940
Russia,1964,Gold,90,125345000
Canada,1996,Bronze,12,29610218
Senegal,1988,Silver,1,7086627
Lithuania,2008,Silver,2,3198231
Italy,1994,Bronze,12,56843400
Spain,2004,Silver,17,42921895
Cuba,1992,Silver,13,10736387
Finland,2014,Bronze,24,5461512
Sweden,2008,Silver,5,9219637
United Kingdom,2002,Bronze,1,59370479
Italy,1998,Gold,3,56906744
Poland,1972,Silver,8,33055650
Bulgaria,1976,Bronze,18,8758599
Croatia,1996,Silver,12,4557097
Romania,1968,Bronze,11,19799831
Iran,1968,Silver,1,27032571
Spain,1988,Silver,2,38766939
Morocco,2000,Bronze,4,28793679
France,1980,Gold,18,55161527
North Korea,2004,Silver,4,23732731
South Korea,1976,Bronze,15,35848523
Liechtenstein,1976,Bronze,2,23931
Italy,1968,Silver,8,53235750
Japan,1994,Bronze,2,124961000
France,1976,Silver,7,54220022
United States of America,2008,Gold,127,304093966
United States of America,1968,Silver,37,200706000
Trinidad,1996,Bronze,2,1257549
Canada,1976,Bronze,15,23449808
Czech Republic,2000,Gold,2,10255063
Bulgaria,2012,Bronze,1,7305888
Denmark,1992,Silver,2,5171370
China,2010,Silver,3,1337705000
France,1960,Bronze,8,46621669
Ghana,1992,Bronze,20,15653336
Slovakia,2010,Gold,1,5391428
United Kingdom,1976,Bronze,11,56211968
Russia,2004,Gold,48,144067054
Spain,1996,Gold,23,39889852
Luxembourg,1992,Silver,2,392175
Norway,1996,Silver,3,4381336
Algeria,2012,Gold,1,37383887
Belgium,1992,Bronze,2,10045158
Bulgaria,1976,Silver,13,8758599
Austria,2000,Silver,1,8011566
Austria,2002,Gold,3,8081957
South Korea,1996,Silver,49,45524681
Romania,1980,Gold,7,22242653
Russia,1994,Bronze,4,148336000
Argentina,2000,Silver,17,36870787
Finland,1988,Bronze,7,4946481
Finland,2002,Silver,5,5200598
Belgium,1960,Silver,2,9153489
Denmark,2008,Silver,7,5493621
Czech Republic,2014,Silver,7,10525347
Singapore,1960,Silver,1,1646400
Greece,2016,Silver,1,10775971
United States of America,2014,Silver,30,318386421
Cameroon,1968,Silver,1,6201413
Latvia,1992,Silver,2,2614338
Indonesia,2000,Gold,2,211513823
Afghanistan,2008,Bronze,1,27722276
Germany,2002,Silver,23,82488495
Azerbaijan,2016,Gold,1,9757812
Norway,1964,Gold,3,3694339
Russia,2004,Bronze,95,144067054
Iran,1996,Silver,1,62294920
Spain,1992,Bronze,3,39157685
Ethiopia,1996,Gold,2,58883530
Australia,1980,Silver,2,14692000
Switzerland,2016,Silver,3,8373338
Austria,1980,Gold,4,7549433
Switzerland,1994,Gold,4,6993795
Spain,1984,Silver,14,38330364
Slovenia,2014,Gold,2,2061980
France,1964,Silver,17,49230595
Greece,2004,Gold,8,10955141
Iran,2000,Gold,3,65623405
Cameroon,1984,Bronze,1,9757841
Israel,1992,Silver,1,5123000
Norway,2000,Gold,20,4490967
Ireland,2008,Bronze,2,4489544
Finland,1972,Gold,3,4639657
Cuba,1980,Gold,8,9849459
Belarus,2010,Silver,1,9490583
Spain,2008,Gold,7,45954106
Ethiopia,2008,Bronze,2,82916235
Denmark,1988,Bronze,3,5129516
Russia,1976,Silver,102,135147000
Australia,2016,Gold,23,24190907
Tunisia,2012,Silver,1,10847002
Estonia,2004,Silver,1,1362550
Hungary,1972,Bronze,25,10398489
Russia,1992,Gold,127,148689000
Finland,2016,Bronze,1,5495303
Indonesia,1996,Gold,2,199901228
Portugal,2016,Bronze,1,10325452
Turkey,1960,Gold,7,27472345
Lebanon,1980,Bronze,1,2588929
Brazil,1992,Gold,13,154259380
Greece,2016,Gold,3,10775971
Germany,1972,Bronze,112,78688452
Norway,2006,Gold,2,4660677
Bahamas,1964,Gold,2,133709
Norway,1968,Gold,15,3816486
Germany,2000,Gold,31,82211508
Turkey,1964,Bronze,1,30244261
Sweden,1980,Silver,8,8310531
Belgium,1964,Bronze,1,9378113
United Kingdom,2010,Gold,1,62766365
Georgia,2004,Silver,2,3927340
Thailand,2008,Gold,2,66530984
Norway,1980,Silver,5,4085620
Australia,1968,Gold,5,12009000
Cuba,2012,Gold,5,11257101
China,1988,Silver,16,1101630000
France,1972,Silver,6,52793138
United States of America,1964,Gold,96,191889000
Russia,2008,Silver,46,142742350
Uzbekistan,2016,Bronze,7,31847900
United States of America,2016,Gold,139,323071342
Estonia,2006,Gold,3,1346810
Venezuela,1960,Bronze,1,8141841
Japan,1972,Bronze,9,107188000
Portugal,1976,Silver,2,9355810
Uganda,1980,Silver,1,12442334
Czech Republic,2016,Bronze,12,10566332
Brazil,1996,Bronze,43,164614688
Spain,2004,Bronze,9,42921895
Brazil,2016,Gold,36,206163058
China,2012,Gold,56,1350695000
Croatia,2008,Bronze,3,4309705
Romania,1996,Silver,10,22619004
Serbia,2000,Bronze,13,7516346
Italy,1980,Gold,8,56433883
Russia,2016,Silver,28,144342396
Germany,2010,Gold,15,81776930
Bulgaria,1988,Silver,14,8981446
Sweden,1972,Silver,11,8122300
Ireland,1992,Gold,1,3558430
Egypt,2004,Gold,1,74172073
Norway,2000,Bronze,19,4490967
Netherlands,1964,Silver,11,12127120
Poland,1996,Gold,7,38624370
Japan,1988,Gold,4,122613000
United States of America,2004,Silver,75,292805298
Denmark,1968,Gold,5,4864883
Belgium,1976,Silver,3,9818227
Uruguay,1964,Bronze,1,2665388
Latvia,2006,Bronze,1,2218357
Bulgaria,2002,Silver,1,7837161
Greece,2000,Bronze,8,10805808
China,1994,Silver,1,1191835000
Belarus,1996,Gold,1,10160000
Puerto Rico,1996,Bronze,1,3724655
Zimbabwe,2004,Gold,1,12019912
Netherlands,1984,Bronze,14,14424211
Algeria,1996,Bronze,1,29266405
Jamaica,2008,Bronze,6,2781876
Tunisia,1964,Silver,1,4461114
Kenya,1968,Bronze,2,10539894
Macedonia,2000,Bronze,1,2034819
Japan,1964,Silver,5,97826000
Netherlands,2002,Gold,3,16148929
Serbia,2012,Silver,1,7199077
Germany,2008,Gold,42,82110097
Switzerland,1998,Gold,6,7110001
Iran,1996,Bronze,1,62294920
Italy,2002,Bronze,6,57059007
Denmark,1980,Gold,4,5123027
Argentina,1992,Bronze,2,33529326
Cuba,1980,Bronze,5,9849459
Ethiopia,2012,Silver,1,92726971
Bulgaria,1980,Silver,44,8861535
Chile,2000,Bronze,17,15342353
Indonesia,2008,Gold,2,235469762
Spain,1996,Silver,21,39889852
United Kingdom,1968,Silver,5,55211700
Denmark,1996,Bronze,1,5263074
Latvia,2010,Silver,3,2097555
Georgia,2012,Bronze,3,3728874
New Zealand,1960,Gold,2,2371800
Kazakhstan,2016,Gold,3,17794055
Syria,1960,Silver,1,4573512
Cuba,2004,Silver,8,11250365
Canada,2008,Bronze,11,33247118
United States of America,2000,Silver,61,282162411
Spain,1980,Silver,19,37491165
Russia,2014,Bronze,13,143819666
Austria,1988,Gold,4,7585317
Czech Republic,1984,Silver,24,10330213
Canada,2012,Silver,21,34714222
Norway,1976,Bronze,1,4026152
Australia,2016,Bronze,25,24190907
New Zealand,2004,Gold,4,4087500
Indonesia,2008,Bronze,3,235469762
Egypt,2004,Silver,1,74172073
United Kingdom,1988,Silver,17,56928327
Germany,2016,Bronze,67,82348669
Australia,1998,Bronze,1,18711000
Austria,1984,Gold,1,7561434
China,1992,Gold,18,1164970000
Austria,1968,Silver,10,7415403
Tonga,1996,Silver,1,96273
Eritrea,2004,Bronze,1,2719803
Hungary,1968,Silver,20,10255815
United Kingdom,1960,Bronze,15,52400000
Jamaica,2012,Bronze,8,2842132
Jamaica,2016,Bronze,2,2906238
Poland,1976,Silver,29,34356300
Norway,1960,Gold,5,3581239
France,2016,Silver,55,66859768
Algeria,2000,Gold,1,31042235
Kazakhstan,2010,Silver,1,16321872
Germany,1960,Gold,38,72814900
Austria,1994,Bronze,7,7936118
Germany,1998,Bronze,10,82047195
Finland,2002,Gold,7,5200598
Austria,1984,Bronze,2,7561434
Czech Republic,1998,Gold,21,10294373
Estonia,2004,Bronze,2,1362550
Latvia,2000,Bronze,1,2367550
United Kingdom,2012,Bronze,48,63700300
Czech Republic,2004,Silver,6,10197101
Ghana,1964,Bronze,1,7524472
Tajikistan,2008,Silver,1,7209930
Russia,1984,Gold,29,142745000
Ukraine,2016,Gold,2,45004645
Colombia,2012,Bronze,4,46076848
Lithuania,2012,Silver,1,2987773
Georgia,2016,Gold,2,3727505
Germany,1992,Silver,74,80624598
Malaysia,2012,Silver,1,29068159
Kenya,2008,Gold,6,39791981
Jamaica,2000,Bronze,3,2654701
Hungary,1996,Silver,9,10311238
Kenya,1996,Gold,1,28589451
Bulgaria,1960,Gold,1,7867374
Belgium,1984,Bronze,2,9855372
Belarus,2004,Bronze,8,9730146
Peru,1984,Silver,1,19319746
Cuba,1972,Silver,1,9025345
Bahamas,2016,Gold,1,377931
Czech Republic,1988,Silver,5,10355276
Netherlands,1972,Gold,7,13328593
Syria,1996,Gold,1,14754142
Uganda,1972,Gold,1,9929636
Sudan,2008,Silver,1,33060837
Chile,2008,Silver,1,16708258
Armenia,2000,Bronze,1,3069591
Poland,1988,Bronze,10,37824487
Czech Republic,1972,Silver,21,9867632
New Zealand,2016,Silver,25,4693200
Belarus,2008,Bronze,16,9527985
France,1964,Bronze,17,49230595
Dominican Republic,2016,Bronze,1,10397743
Hungary,2008,Gold,16,10038188
Trinidad,1976,Gold,1,1025107
South Africa,2012,Gold,6,52834005
Turkey,2012,Bronze,1,74653016
Norway,1988,Bronze,5,4209488
Mexico,2012,Bronze,3,117274155
Burundi,1996,Gold,1,6060111
Switzerland,2006,Bronze,9,7483934
Bulgaria,1980,Gold,8,8861535
Zambia,1996,Silver,1,9339733
Ecuador,1996,Gold,1,11703174
Italy,1988,Bronze,13,56629288
Canada,1984,Silver,37,25607053
Switzerland,2002,Silver,7,7284753
Bulgaria,1988,Gold,10,8981446
Lithuania,2004,Gold,1,3377075
Indonesia,2000,Silver,4,211513823
North Korea,1992,Gold,4,20937404
Italy,1988,Silver,11,56629288
France,1994,Bronze,10,59327192
Italy,1994,Gold,14,56843400
Pakistan,1964,Silver,16,49627623
Colombia,1972,Bronze,2,22516425
South Korea,1998,Bronze,2,46286503
Jamaica,2000,Silver,20,2654701
Kazakhstan,2012,Gold,7,16792089
Czech Republic,2008,Gold,3,10384603
Germany,2014,Silver,12,80982500
Norway,2000,Silver,4,4490967
Switzerland,2014,Silver,4,8188649
Nigeria,1984,Silver,1,81448755
Austria,1992,Bronze,10,7840709
Argentina,1960,Bronze,1,20481779
China,2012,Bronze,30,1350695000
North Korea,2004,Bronze,1,23732731
Kenya,2004,Gold,1,35635271
Mexico,2012,Gold,16,117274155
India,2008,Bronze,2,1200669765
Iran,2012,Bronze,3,75539862
Tunisia,2008,Gold,1,10414433
Canada,2014,Silver,22,35437435
United Kingdom,2006,Silver,1,60846820
Italy,2004,Gold,24,57685327
Belgium,1980,Gold,1,9859242
Kenya,2016,Silver,6,49051686
Romania,1996,Gold,13,22619004
South Africa,1996,Silver,1,42241011
Netherlands,1960,Silver,2,11486631
Uzbekistan,2004,Gold,2,25864350
Ukraine,1996,Bronze,19,51057189
Denmark,1960,Bronze,4,4579603
Slovenia,2014,Bronze,4,2061980
Belarus,2000,Bronze,11,9979610
Azerbaijan,2012,Gold,2,9295784
Cuba,2012,Silver,3,11257101
Jamaica,2012,Gold,8,2842132
Norway,1976,Gold,5,4026152
Czech Republic,2016,Silver,2,10566332
Morocco,2000,Silver,1,28793679
Brazil,1984,Bronze,2,132383568
Finland,2002,Bronze,1,5200598
Hungary,2008,Bronze,3,10038188
Japan,2016,Silver,13,126994511
Hungary,2012,Bronze,6,9920362
Serbia,2016,Silver,27,7058322
Mexico,2004,Silver,3,104514932
Australia,2008,Silver,42,21249200
France,1984,Silver,17,56337666
Romania,2000,Gold,27,22442971
Slovenia,2008,Gold,1,2021316
Mexico,1984,Silver,3,74352631
Argentina,1996,Silver,19,35246374
Mexico,2008,Bronze,2,110815271
New Zealand,1988,Gold,4,3283400
Canada,1964,Silver,4,19325000
Norway,1968,Silver,11,3816486
Azerbaijan,2012,Bronze,6,9295784
Ukraine,2014,Gold,4,45271947
South Korea,1972,Silver,1,33505406
Norway,1994,Gold,8,4336613
South Korea,1964,Silver,2,27984155
Jamaica,1968,Silver,1,1825879
Austria,1976,Gold,2,7565525
Mexico,1960,Bronze,1,37771859
Netherlands,2010,Bronze,6,16615394
Turkey,2012,Silver,2,74653016
Norway,1992,Gold,11,4286401
Austria,2008,Silver,1,8321496
Cuba,1992,Gold,42,10736387
Morocco,2012,Bronze,1,33241898
South Korea,2016,Silver,3,51245707
Chile,2004,Bronze,1,16014971
Denmark,2012,Silver,5,5591572
United Kingdom,2004,Bronze,15,59987905
Ethiopia,2016,Silver,2,103603501
Belarus,2014,Bronze,1,9474511
Russia,2016,Gold,52,144342396
South Africa,2004,Bronze,3,47291610
Portugal,1960,Silver,2,8857716
Russia,2006,Silver,12,143049528
Pakistan,1988,Bronze,1,101389603
Puerto Rico,2016,Gold,1,3406495
South Africa,1996,Gold,3,42241011
Norway,1998,Silver,15,4431464
Israel,2008,Bronze,1,7308800
Morocco,1984,Gold,2,22002643
Croatia,2002,Silver,1,4302174
Guyana,1980,Bronze,1,780153
Portugal,2012,Silver,2,10514844
Romania,1992,Silver,31,22794284
Nigeria,1964,Bronze,1,49066760
Mexico,1988,Bronze,2,80788721
Turkey,1968,Gold,2,33256464
Estonia,1992,Bronze,2,1533091
Kenya,2012,Bronze,5,44343410
South Korea,1976,Gold,1,35848523
Spain,2012,Gold,5,46773055
Italy,2004,Silver,41,57685327
Croatia,2002,Gold,3,4302174
Romania,1988,Bronze,16,23057662
Moldova,2000,Bronze,1,3639592
Germany,2006,Gold,23,82376451
Greece,1984,Bronze,1,9895801
Czech Republic,1972,Bronze,25,9867632
Ukraine,2012,Silver,5,45593300
Belarus,2010,Gold,1,9490583
Japan,1988,Bronze,14,122613000
Greece,1980,Gold,1,9642505
Algeria,1984,Bronze,2,21763575
Canada,1960,Gold,3,17909009
Azerbaijan,2008,Gold,1,8763400
Tunisia,1996,Bronze,1,9267340
Ukraine,1998,Silver,1,50143939
Hungary,2016,Bronze,7,9814023
Czech Republic,1988,Gold,3,10355276
Canada,2002,Gold,52,31360079
Iran,2004,Bronze,2,68951281
Sweden,2010,Gold,11,9378126
Germany,2010,Silver,24,81776930
Sweden,2012,Silver,17,9519374
Romania,1964,Gold,2,18919126
New Zealand,1972,Gold,9,2903900
Belgium,2000,Bronze,4,10251250
Serbia,2004,Silver,13,7463157
Kenya,2012,Gold,2,44343410
North Korea,1976,Silver,1,16554746
Finland,1992,Gold,7,5041992
Brazil,2000,Silver,12,174790340
Japan,2016,Bronze,34,126994511
Poland,2004,Bronze,6,38182222
Colombia,2016,Gold,3,48171392
Italy,2010,Gold,1,59277417
Poland,1980,Silver,25,35574150
Denmark,1964,Gold,7,4722072
Ukraine,2004,Gold,8,47451600
Spain,2000,Silver,19,40567864
Austria,1960,Silver,4,7047539
Norway,1972,Silver,10,3933004
Slovenia,1996,Silver,2,1988628
Finland,1960,Gold,6,4429634
